,0
Annual return,0.11978627370644923
Cumulative returns,0.24048278639984133
Annual volatility,0.20731635863000755
Sharpe ratio,0.649375398972707
Calmar ratio,0.4823121256060401
Stability,0.801236731159031
Max drawdown,-0.24835841221270163
Omega ratio,1.1527977710255302
Sortino ratio,0.9403660506250598
Skew,-0.009977509754051133
Kurtosis,12.301921505300186
Tail ratio,0.796872649353838
Daily value at risk,-0.0255851753520112
